Label,Count
Oreoica gutturalis_Crested Bellbird,113
Oecanthus angustus_Common Tree Cricket,177
Ocyphaps lophotes_Crested Pigeon,212
Nymphicus hollandicus_Cockatiel,169
Notaden bennettii_Crucifix Frog,56
Northiella haematogaster_Greater Bluebonnet,174
Ninox strenua_Powerful Owl,298
Ninox connivens_Barking Owl,321
Ninox boobook_Australian Boobook,307
Nesoptilotis leucotis_White-eared Honeyeater,117
Neosericornis citreogularis_Yellow-throated Scrubwren,175
Neopsephotus bourkii_Bourke's Parrot,155
Neophema pulchella_Turquoise Parrot,128
Neophema chrysostoma_Blue-winged Parrot,66
Neochmia temporalis_Red-browed Finch,255
Neobatrachus sudellae_Sudell's Frog,147
Neobatrachus pictus_Painted Frog,86
Myzomela sanguinolenta_Scarlet Myzomela,275
Myopsalta mackinlayi_Fence Buzzer,86
Myiagra rubecula_Leaden Flycatcher,142
Myiagra inquieta_Restless Flycatcher,152
Monarcha melanopsis_Black-faced Monarch,165
Mirafra javanica_Singing Bushlark,119
Milvus migrans_Black Kite,147
Microeca fascinans_Jacky Winter,302
Microcarbo melanoleucos_Little Pied Cormorant,122
Merops ornatus_Rainbow Bee-eater,251
Menura novaehollandiae_Superb Lyrebird,272
Menura alberti_Albert's Lyrebird,242
Melopsittacus undulatus_Budgerigar,300
Melithreptus lunatus_White-naped Honeyeater,148
Melithreptus gularis_Black-chinned Honeyeater,166
Melithreptus brevirostris_Brown-headed Honeyeater,139
Meliphaga lewinii_Lewin's Honeyeater,261
Melanodryas cucullata_Hooded Robin,137
Megalurus timoriensis_Tawny Grassbird,145
Megaloprepia magnifica_Wompoo Fruit-Dove,183
Manorina melanophrys_Bell Miner,144
Manorina melanocephala_Noisy Miner,306
Manorina flavigula_Yellow-Throated Miner,171
Malurus splendens_Spendid Fairywren,80
Malurus leucopterus_White-Winged Fairywren,306
Malurus lamberti_Variegated Fairywren,126
Malurus cyaneus_Superb Fairywren,171
Malurus assimilis_Purple-backed Fairywren,128
Malacorhynchus membranaceus_Pink-eared Duck,143
Macropygia phasianella_Brown Cuckoo-Dove,293
Litoria verreauxii_Whistling Tree Frog,115
Litoria tyleri_Tyler's Tree Frog,116
Litoria revelata_Southern Whirring Tree Frog,106
Litoria peronii_Peron's Tree Frog,261
Litoria lesueuri_Lesueurs Frog,60
Litoria latopalmata_Broad-palmed Rocket Frog,147
Litoria gracilenta_Dainty Green Tree Frog,161
Litoria freycineti_Wallum Rocket Frog,69
Litoria fallax_Eastern Dwarf Tree Frog,322
Limnodynastes tasmaniensis_Spotted Marsh Frog,133
Limnodynastes salmini_Salmon-striped Frog,38
Limnodynastes peronii_Striped Marsh Frog,203
Limnodynastes interioris_Giant Banjo Frog,48
Limnodynastes grayi_Scarlet-sided Banjo Frog,95
Limnodynastes fletcheri_Barking Frog,90
Limnodynastes dumerilii_Eastern Banjo Frog,188
Lichmera indistincta_Brown Honeyeater,202
Lichenostomus virescens_Singing Honeyeater,295
Lewinia pectoralis_Lewin's Rail,297
Leucosarcia melanoleuca_Wonga Pigeon,149
Lalage tricolor_White-winged Triller,235
Icthyophaga leucogaster_White-bellied Sea Eagle,226
Hylacola pyrrhopygia_Chestnut-rumped Heathwren,222
Homo sapiens_Siren,210
Homo sapiens_Power Tools and Machinery,313
Homo sapiens_Music,187
Homo sapiens_Human Voice,301
Homo sapiens_Guns and Fireworks,81
Homo sapiens_Engines,220
Hirundo neoxena_Welcome Swallow,219
Hirundapus caudacutus_White-throated Needletail,156
Himantopus leucocephalus_Pied Stilt,164
Hieraaetus morphnoides_Little Eagle,152
Heteroscenes pallidus_Pallid Cuckoo,322
Henicopsaltria eydouxii_Razor Grinder,316
Haliastur sphenurus_Whistling Kite,164
Haemopsalta rubea_Red Squeaker,123
Gymnorhina tibicen_Australian Magpie,320
Gryllotalpa pluvialis_Chirping Mole Cricket,303
Gryllotalpa monanka_Dark Night Mole Cricket,64
Gryllotalpa australis_Southern Mole Cricket,186
Gryllodes sigillatus_Indian House Cricket,135
Grallina cyanoleuca_Magpie-lark,261
Glossopsitta concinna_Musk Lorikeet,292
Glareola isabella_Australian Pratincole,147
Gerygone olivacea_White-throated Gerygone,204
Gerygone mouki_Brown Gerygone,311
Gerygone fusca_Western Gerygone,115
Geopelia placida_Peaceful Dove,301
Geopelia humeralis_Bar-shouldered Dove,299
Geopelia cuneata_Diamond Dove,185
Gelochelidon macrotarsa_Australian Tern,110
Gallirallus philippensis_Buff-banded Rail,252
Gallinula tenebrosa_Dusky Moorhen,97
Gallinago hardwickii_Latham's Snipe,114
Galanga labeculata_Double-spotted Cicada,39
Fulica atra_Eurasian Coot,112
Froggattina australis_Froggatt's Buzzer,193
Falcunculus frontatus_Eastern Shrike-tit,126
Falco subniger_Black Falcon,40
Falco peregrinus_Peregrine Falcon,148
Falco longipennis_Australian Hobby,115
Falco cenchroides_Nankeen Kestrel,233
Falco berigora_Brown Falcon,233
Eurystomus orientalis_Dollarbird,151
Eurostopodus mystacalis_White-throated Nightjar,237
Eurostopodus argus_Spotted Nightjar,170
Eurepa marginipennis_Mottled Bush Cricket,75
Eudynamys orientalis_Pacific Koel,294
Epthianura tricolor_Crimson Chat,148
Epthianura crocea_Yellow Chat,123
Epthianura aurifrons_Orange Chat,262
Epthianura albifrons_White-fronted Chat,125
Eopsaltria australis_Eastern Yellow Robin,316
Eolophus roseicapilla_Galah,305
Entomyzon cyanotis_Blue-faced Honeyeater,150
Emblema pictum_Painted Finch,145
Elanus axillaris_Black-shouldered Kite,106
Edolisoma tenuirostre_Sahul Cicadabird,139
Dromaius novaehollandiae_Emu,65
Diptera_Flies,202
Diemeniana euronotiana_Golden Twanger,81
Dicrurus bracteatus_Spangled Drongo,153
Dicaeum hirundinaceum_Mistletoebird,210
Dasyornis brachypterus_Eastern Bristlebird,179
Daphoenositta chrysoptera_Varied Sitella,159
Dacelo novaeguineae_Laughing Kookaburra,303
Cystosoma saundersii_Bladder Cicada,253
Cygnus atratus_Black Swan,198
Cyclorana platycephala_Eastern Water-holding Frog,47
Cyclochila australasiae_Green Grocer,308
Crinia tinnula_Wallum froglet,206
Crinia signifera_Common Eastern Froglet,306
Crinia parinsignifera_Eastern Sign-bearing Froglet,255
Crinia deserticola_Desert Froglet,136
Cracticus torquatus_Grey Butcherbird,279
Cracticus nigrogularis_Pied Butcherbird,245
Coturnix pectoralis_Stubble Quail,226
Corvus tasmanicus_Forest Raven,151
Corvus orru_Torresian Crow,138
Corvus mellori_Little Raven,285
Corvus coronoides_Australian Raven,249
Corvus bennetti_Little Crow,287
Cormobates leucophaea_White-throated Treecreeper,309
Corcorax melanorhamphos_White-winged Chough,219
Coracina papuensis_White-bellied Cuckooshrike,94
Coracina novaehollandiae_Black-faced Cuckooshrike,236
Coracina maxima_Ground Cuckooshrike,147
Conocephalus upoluensis_Greenish Meadow Katydid,141
Conocephalus albescens_Whittish Meadow Katydid,291
Columba livia_Rock Pigeon,197
Columba leucomela_White-headed Pigeon,152
Colluricincla megarhyncha_Little Shrikethrush,174
Colluricincla harmonica_Gray Shrikethrush,264
Colleeneremia rubella_Desert Tree Frog,238
Colleeneremia quiritatus_Screaming Tree Frog,213
Clinopsalta autumna_Ferny Acacia Cicada,53
Climacteris picumnus_Brown Treecreeper,120
Climacteris erythrops_Red-browed Treecreeper,127
Cisticola exilis_Golden-headed Cisticola,191
Circus approximans_Swamp Harrier,163
Cinclosoma punctatum_Spotted Quail-thrush,121
Cinclosoma cinnamomeum_Cinnamon Quail-thrush,258
Cincloramphus mathewsi_Rufous Songlark,189
Cincloramphus cruralis_Brown Songlark,320
Chroicocephalus novaehollandiae_Silver Gull,191
Cheramoeca leucosterna_White-backed Swallow,204
Chenonetta jubata_Maned Duck,202
Chalcophaps longirostris_Pacific Emerald Dove,159
Chalcites osculans_Black-eared Cuckoo,188
Chalcites lucidus_Shining Bronze-Cuckoo,205
Chalcites basalis_Horsfield's Bronze-Cuckoo,289
Ceyx azureus_Azure Kingfisher,134
Certhionyx variegatus_Pied Honeyeater,128
Centropus phasianinus_Pheasant Coucal,185
Capra hircus_Goat,305
Canis lupus dingo_Dingo,320
Canis lupis familiaris_Domestic Dog,263
Calyptorhynchus lathami_Glossy Black-Cockatoo,187
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo,318
Calyptorhynchus banksii_Red-tailed Black-Cockatoo,194
Callocephalon fimbriatum_Gang-gang Cockatoo,110
Caligavis chrysops_Yellow-faced Honeyeater,143
Cacomantis variolosus_Sahul Brush Cuckoo,172
Cacomantis flabelliformis_Fan-tailed Cuckoo,319
Cacatua tenuirostris_Long-billed Corella,120
Cacatua sanguinea_Little Corella,301
Cacatua leadbeateri_Pink Cockatoo,168
Cacatua galerita_Sulphur-crested Cockatoo,292
Bos taurus_Cattle,175
Biziura lobata_Musk Duck,117
Birrima castanea_Red Tree-ticker,71
Barnardius zonarius_Australian Ringneck,197
Aythya australis_Hardhead,81
Aviceda subcristata_Pacific Baza,47
Austrosalomona falcata_Olive-green Coastal Katydid,141
Atrapsalta encaustica_Black Squeaker,149
Atrapsalta corticina_Bark Squeaker,183
Atrapsalta collina_Sandstone Squeaker,123
Arunta perulata_White Drummer,293
Artamus superciliosus_White-browed Woodswallow,259
Artamus personatus_Masked Woodswallow,144
Artamus minor_Little Woodswallow,104
Artamus leucorynchus_White-breasted Woodswallow,131
Artamus cyanopterus_Dusky Woodswallow,165
Artamus cinereus_Black-faced Woodswallow,122
Ardea pacifica_White-necked Heron,66
Aquila audax_Wedge-tailed Eagle,124
Aprosmictus erythropterus_Red-winged Parrot,65
Aphelocephala nigricincta_Banded Whiteface,121
Aphelocephala leucopsis_Southern Whiteface,147
Anthus novaeseelandiae_Australian Pipit,301
Anthochaera phrygia_Regent Honeyeater,316
Anthochaera chrysoptera_Little Wattlebird,210
Anthochaera carunculata_Red Wattlebird,232
Anhinga novaehollandiae_Australasian Darter,69
Anas superciliosa_Pacific Black Duck,133
Anas gracilis_Grey Teal,198
Amytornis modestus_Thick-billed Grasswren,318
Amytornis goyderi_Eyrean Grasswren,214
Amytornis barbatus_Grey Grasswren,137
Alisterus scapularis_Australian King-Parrot,204
Aleeta curvicosta_Floury Baker,246
Ailuroedus crassirostris_Green Catbird,232
Aidemosyne modesta_Plum-headed Finch,210
Aegotheles cristatus_Australian Owlet Nightjar,245
Adelotus brevis_Tusked Frog,111
Acrocephalus australis_Australian Reed Warbler,254
Acridotheres tristis_Common Myna,155
Acanthorhynchus tenuirostris_Eastern Spinebill,172
Acanthiza uropygialis_Chestnut-rumped Thornbill,120
Acanthiza reguloides_Buff-rumped Thornbill,262
Acanthiza pusilla_Brown Thornbill,196
Acanthiza nana_Yellow Thornbill,198
Acanthiza lineata_Striated Thornbill,235
Acanthiza chrysorrhoa_Yellow-rumped_Thornbill,254
Acanthiza apicalis_Inland Thornbill,136
Acanthagenys rufogularis_Spiny-cheeked Honeyeater,188
