Label,Count
Neopsephotus bourkii_Bourke's Parrot,243
Neophema pulchella_Turquoise Parrot,206
Neophema chrysostoma_Blue-winged Parrot,78
Neochmia temporalis_Red-browed Finch,333
Neobatrachus sudellae_Sudell's Frog,254
Neobatrachus pictus_Painted Frog,83
Myzomela sanguinolenta_Scarlet Myzomela,372
Myopsalta mackinlayi_Fence Buzzer,88
Myiagra rubecula_Leaden Flycatcher,142
Myiagra inquieta_Restless Flycatcher,153
Monarcha melanopsis_Black-faced Monarch,173
Mirafra javanica_Singing Bushlark,237
Milvus migrans_Black Kite,194
Microeca fascinans_Jacky Winter,445
Microcarbo melanoleucos_Little Pied Cormorant,266
Merops ornatus_Rainbow Bee-eater,342
Menura novaehollandiae_Superb Lyrebird,535
Melopsittacus undulatus_Budgerigar,300
Melithreptus lunatus_White-naped Honeyeater,152
Melithreptus gularis_Black-chinned Honeyeater,302
Melithreptus brevirostris_Brown-headed Honeyeater,140
Meliphaga lewinii_Lewin's Honeyeater,376
Melanodryas cucullata_Hooded Robin,255
Megalurus timoriensis_Tawny Grassbird,145
Megaloprepia magnifica_Wompoo Fruit-Dove,184
Manorina melanocephala_Noisy Miner,330
Manorina flavigula_Yellow-Throated Miner,190
Malurus splendens_Spendid Fairywren,162
Malurus leucopterus_White-Winged Fairywren,319
Malurus lamberti_Variegated Fairywren,128
Malurus cyaneus_Superb Fairywren,182
Malurus assimilis_Purple-backed Fairywren,256
Malacorhynchus membranaceus_Pink-eared Duck,285
Macropygia phasianella_Brown Cuckoo-Dove,305
Litoria verreauxii_Whistling Tree Frog,156
Litoria tyleri_Tyler's Tree Frog,128
Litoria revelata_Southern Whirring Tree Frog,149
Litoria peronii_Peron's Tree Frog,472
Litoria lesueuri_Lesueurs Frog,62
Litoria latopalmata_Broad-palmed Rocket Frog,292
Litoria gracilenta_Dainty Green Tree Frog,856
Litoria freycineti_Wallum Rocket Frog,88
Litoria fallax_Eastern Dwarf Tree Frog,322
Limnodynastes tasmaniensis_Spotted Marsh Frog,853
Limnodynastes salmini_Salmon-striped Frog,95
Limnodynastes peronii_Striped Marsh Frog,216
Limnodynastes interioris_Giant Banjo Frog,49
Limnodynastes grayi_Scarlet-sided Banjo Frog,184
Limnodynastes fletcheri_Barking Frog,95
Limnodynastes dumerilii_Eastern Banjo Frog,324
Lichmera indistincta_Brown Honeyeater,287
Lichenostomus virescens_Singing Honeyeater,304
Lewinia pectoralis_Lewin's Rail,517
Leucosarcia melanoleuca_Wonga Pigeon,151
Lalage tricolor_White-winged Triller,320
Icthyophaga leucogaster_White-bellied Sea Eagle,321
Homo sapiens_Siren,273
Homo sapiens_Power Tools and Machinery,503
Homo sapiens_Music,212
Homo sapiens_Human Voice,472
Homo sapiens_Guns and Fireworks,84
Homo sapiens_Engines,407
Hirundo neoxena_Welcome Swallow,292
Hirundapus caudacutus_White-throated Needletail,322
Himantopus leucocephalus_Pied Stilt,322
Hieraaetus morphnoides_Little Eagle,253
Heteroscenes pallidus_Pallid Cuckoo,344
Henicopsaltria eydouxii_Razor Grinder,327
Haliastur sphenurus_Whistling Kite,195
Gymnorhina tibicen_Australian Magpie,343
Gryllotalpa pluvialis_Chirping Mole Cricket,388
Gryllotalpa monanka_Dark Night Mole Cricket,124
Gryllotalpa australis_Southern Mole Cricket,200
Gryllodes sigillatus_Indian House Cricket,170
Grallina cyanoleuca_Magpie-lark,293
Glossopsitta concinna_Musk Lorikeet,356
Glareola isabella_Australian Pratincole,147
Gerygone olivacea_White-throated Gerygone,239
Gerygone mouki_Brown Gerygone,391
Gerygone fusca_Western Gerygone,226
Geopelia placida_Peaceful Dove,301
Geopelia humeralis_Bar-shouldered Dove,362
Geopelia cuneata_Diamond Dove,185
Gelochelidon macrotarsa_Australian Tern,110
Gallirallus philippensis_Buff-banded Rail,322
Gallinula tenebrosa_Dusky Moorhen,202
Gallinago hardwickii_Latham's Snipe,190
Fulica atra_Eurasian Coot,192
Froggattina australis_Froggatt's Buzzer,336
Falcunculus frontatus_Eastern Shrike-tit,158
Falco subniger_Black Falcon,78
Falco peregrinus_Peregrine Falcon,154
Falco longipennis_Australian Hobby,162
Falco cenchroides_Nankeen Kestrel,279
Falco berigora_Brown Falcon,306
Eurystomus orientalis_Dollarbird,178
Eurostopodus mystacalis_White-throated Nightjar,247
Eurostopodus argus_Spotted Nightjar,227
Eurepa marginipennis_Mottled Bush Cricket,75
Eudynamys orientalis_Pacific Koel,301
Epthianura tricolor_Crimson Chat,148
Epthianura crocea_Yellow Chat,207
Epthianura aurifrons_Orange Chat,312
Epthianura albifrons_White-fronted Chat,245
Eopsaltria australis_Eastern Yellow Robin,335
Eolophus roseicapilla_Galah,320
Entomyzon cyanotis_Blue-faced Honeyeater,150
Emblema pictum_Painted Finch,284
Elanus axillaris_Black-shouldered Kite,117
Egretta novaehollandiae_White-faced Heron,156
Edolisoma tenuirostre_Sahul Cicadabird,139
Dromaius novaehollandiae_Emu,128
Diptera_Flies,320
Diemeniana euronotiana_Golden Twanger,113
Dicrurus bracteatus_Spangled Drongo,153
Dicaeum hirundinaceum_Mistletoebird,266
Daphoenositta chrysoptera_Varied Sitella,196
Dacelo novaeguineae_Laughing Kookaburra,367
Cystosoma saundersii_Bladder Cicada,253
Cygnus atratus_Black Swan,295
Cyclorana verrucosa_Rough Frog,12
Cyclorana platycephala_Eastern Water-holding Frog,49
Cyclorana novaehollandiae_Wide-mouthed Frog,6
Cyclorana brevipes_Short-footed Frog,18
Cyclorana alboguttata_Striped Burrowing Frog,18
Cyclochila australasiae_Green Grocer,310
Crinia tinnula_Wallum froglet,281
Crinia signifera_Common Eastern Froglet,326
Crinia parinsignifera_Eastern Sign-bearing Froglet,485
Crinia deserticola_Desert Froglet,220
Cracticus torquatus_Grey Butcherbird,367
Cracticus nigrogularis_Pied Butcherbird,286
Coturnix pectoralis_Stubble Quail,274
Corvus tasmanicus_Forest Raven,152
Corvus orru_Torresian Crow,152
Corvus mellori_Little Raven,382
Corvus coronoides_Australian Raven,312
Corvus bennetti_Little Crow,342
Cormobates leucophaea_White-throated Treecreeper,359
Corcorax melanorhamphos_White-winged Chough,278
Coracina papuensis_White-bellied Cuckooshrike,96
Coracina novaehollandiae_Black-faced Cuckooshrike,257
Coracina maxima_Ground Cuckooshrike,291
Conocephalus upoluensis_Greenish Meadow Katydid,212
Conocephalus albescens_Whittish Meadow Katydid,339
Columba livia_Rock Pigeon,197
Columba leucomela_White-headed Pigeon,214
Colluricincla harmonica_Gray Shrikethrush,331
Colleeneremia rubella_Desert Tree Frog,431
Colleeneremia quiritatus_Screaming Tree Frog,424
Climacteris picumnus_Brown Treecreeper,240
Climacteris erythrops_Red-browed Treecreeper,230
Cisticola exilis_Golden-headed Cisticola,191
Circus approximans_Swamp Harrier,280
Cinclosoma punctatum_Spotted Quail-thrush,240
Cinclosoma cinnamomeum_Cinnamon Quail-thrush,258
Cincloramphus mathewsi_Rufous Songlark,189
Cincloramphus cruralis_Brown Songlark,320
Chroicocephalus novaehollandiae_Silver Gull,326
Cheramoeca leucosterna_White-backed Swallow,373
Chenonetta jubata_Maned Duck,208
Chalcophaps longirostris_Pacific Emerald Dove,160
Chalcites osculans_Black-eared Cuckoo,255
Chalcites lucidus_Shining Bronze-Cuckoo,239
Chalcites basalis_Horsfield's Bronze-Cuckoo,340
Ceyx azureus_Azure Kingfisher,153
Certhionyx variegatus_Pied Honeyeater,254
Centropus phasianinus_Pheasant Coucal,185
Capra hircus_Goat,306
Canis lupus dingo_Dingo,320
Canis lupis familiaris_Domestic Dog,427
Calyptorhynchus lathami_Glossy Black-Cockatoo,195
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo,323
Calyptorhynchus banksii_Red-tailed Black-Cockatoo,194
Callocephalon fimbriatum_Gang-gang Cockatoo,220
Caligavis chrysops_Yellow-faced Honeyeater,146
Cacomantis variolosus_Sahul Brush Cuckoo,203
Cacomantis flabelliformis_Fan-tailed Cuckoo,352
Cacatua tenuirostris_Long-billed Corella,237
Cacatua sanguinea_Little Corella,362
Cacatua leadbeateri_Pink Cockatoo,327
Cacatua galerita_Sulphur-crested Cockatoo,309
Bos taurus_Cattle,191
Biziura lobata_Musk Duck,235
Barnardius zonarius_Australian Ringneck,197
Aythya australis_Hardhead,160
Austrosalomona falcata_Olive-green Coastal Katydid,208
Atrapsalta corticina_Bark Squeaker,364
Arunta perulata_White Drummer,564
Artamus superciliosus_White-browed Woodswallow,352
Artamus minor_Little Woodswallow,211
Artamus leucorynchus_White-breasted Woodswallow,117
Artamus cyanopterus_Dusky Woodswallow,193
Artamus cinereus_Black-faced Woodswallow,135
Ardea pacifica_White-necked Heron,134
Aquila audax_Wedge-tailed Eagle,226
Aprosmictus erythropterus_Red-winged Parrot,127
Aphelocephala nigricincta_Banded Whiteface,121
Aphelocephala leucopsis_Southern Whiteface,176
Anthus novaeseelandiae_Australian Pipit,344
Anthochaera phrygia_Regent Honeyeater,602
Anthochaera chrysoptera_Little Wattlebird,217
Anthochaera carunculata_Red Wattlebird,265
Anhinga novaehollandiae_Australasian Darter,123
Anas superciliosa_Pacific Black Duck,230
Anas gracilis_Grey Teal,247
Amytornis modestus_Thick-billed Grasswren,366
Amytornis goyderi_Eyrean Grasswren,416
Amytornis barbatus_Grey Grasswren,272
Alisterus scapularis_Australian King-Parrot,208
Aleeta curvicosta_Floury Baker,464
Ailuroedus crassirostris_Green Catbird,252
Aidemosyne modesta_Plum-headed Finch,287
Aegotheles cristatus_Australian Owlet Nightjar,292
Adelotus brevis_Tusked Frog,134
Acrocephalus australis_Australian Reed Warbler,254
Acridotheres tristis_Common Myna,191
Acanthorhynchus tenuirostris_Eastern Spinebill,178
Acanthiza uropygialis_Chestnut-rumped Thornbill,239
Acanthiza reguloides_Buff-rumped Thornbill,386
Acanthiza pusilla_Brown Thornbill,233
Acanthiza nana_Yellow Thornbill,269
Acanthiza lineata_Striated Thornbill,240
Acanthiza chrysorrhoa_Yellow-rumped_Thornbill,416
Acanthiza apicalis_Inland Thornbill,175
Acanthagenys rufogularis_Spiny-cheeked Honeyeater,188
