Label,Count
Cyclochila australasiae_Green Grocer,308
Crinia tinnula_Wallum froglet,207
Crinia signifera_Common Eastern Froglet,307
Crinia parinsignifera_Eastern Sign-bearing Froglet,257
Crinia deserticola_Desert Froglet,139
Cracticus torquatus_Grey Butcherbird,287
Cracticus nigrogularis_Pied Butcherbird,246
Coturnix pectoralis_Stubble Quail,227
Corvus tasmanicus_Forest Raven,152
Corvus orru_Torresian Crow,138
Corvus mellori_Little Raven,285
Corvus coronoides_Australian Raven,243
Corvus bennetti_Little Crow,284
Cormobates leucophaea_White-throated Treecreeper,309
Corcorax melanorhamphos_White-winged Chough,219
Coracina papuensis_White-bellied Cuckooshrike,96
Coracina novaehollandiae_Black-faced Cuckooshrike,239
Coracina maxima_Ground Cuckooshrike,147
Conocephalus upoluensis_Greenish Meadow Katydid,144
Conocephalus albescens_Whittish Meadow Katydid,298
Columba livia_Rock Pigeon,197
Columba leucomela_White-headed Pigeon,154
Colluricincla harmonica_Gray Shrikethrush,266
Colleeneremia rubella_Desert Tree Frog,220
Colleeneremia quiritatus_Screaming Tree Frog,215
Clinopsalta autumna_Ferny Acacia Cicada,55
Climacteris picumnus_Brown Treecreeper,120
Climacteris erythrops_Red-browed Treecreeper,128
Cisticola exilis_Golden-headed Cisticola,191
Circus approximans_Swamp Harrier,164
Cinclosoma punctatum_Spotted Quail-thrush,123
Cinclosoma cinnamomeum_Cinnamon Quail-thrush,258
Cincloramphus mathewsi_Rufous Songlark,189
Cincloramphus cruralis_Brown Songlark,320
Chroicocephalus novaehollandiae_Silver Gull,191
Cheramoeca leucosterna_White-backed Swallow,196
Chenonetta jubata_Maned Duck,203
Chalcophaps longirostris_Pacific Emerald Dove,160
Chalcites osculans_Black-eared Cuckoo,188
Chalcites lucidus_Shining Bronze-Cuckoo,207
Chalcites basalis_Horsfield's Bronze-Cuckoo,289
Ceyx azureus_Azure Kingfisher,134
Certhionyx variegatus_Pied Honeyeater,128
Centropus phasianinus_Pheasant Coucal,185
Capra hircus_Goat,302
Canis lupus dingo_Dingo,320
Canis lupis familiaris_Domestic Dog,263
Calyptorhynchus lathami_Glossy Black-Cockatoo,193
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo,323
Calyptorhynchus banksii_Red-tailed Black-Cockatoo,194
Callocephalon fimbriatum_Gang-gang Cockatoo,112
Caligavis chrysops_Yellow-faced Honeyeater,143
Cacomantis variolosus_Sahul Brush Cuckoo,176
Cacomantis flabelliformis_Fan-tailed Cuckoo,320
Cacatua tenuirostris_Long-billed Corella,120
Cacatua sanguinea_Little Corella,301
Cacatua leadbeateri_Pink Cockatoo,168
Cacatua galerita_Sulphur-crested Cockatoo,292
Bos taurus_Cattle,175
Biziura lobata_Musk Duck,119
Birrima castanea_Red Tree-ticker,33
Barnardius zonarius_Australian Ringneck,197
Aythya australis_Hardhead,81
Austrosalomona falcata_Olive-green Coastal Katydid,141
Atrapsalta encaustica_Black Squeaker,150
Atrapsalta corticina_Bark Squeaker,183
Arunta perulata_White Drummer,293
Artamus superciliosus_White-browed Woodswallow,267
Artamus personatus_Masked Woodswallow,80
Artamus minor_Little Woodswallow,106
Artamus leucorynchus_White-breasted Woodswallow,112
Artamus cyanopterus_Dusky Woodswallow,165
Artamus cinereus_Black-faced Woodswallow,122
Ardea pacifica_White-necked Heron,67
Aquila audax_Wedge-tailed Eagle,124
Aprosmictus erythropterus_Red-winged Parrot,65
Aphelocephala nigricincta_Banded Whiteface,121
Aphelocephala leucopsis_Southern Whiteface,141
Anthus novaeseelandiae_Australian Pipit,295
Anthochaera phrygia_Regent Honeyeater,317
Anthochaera chrysoptera_Little Wattlebird,214
Anthochaera carunculata_Red Wattlebird,232
Anhinga novaehollandiae_Australasian Darter,72
Anas superciliosa_Pacific Black Duck,133
Anas gracilis_Grey Teal,198
Amytornis modestus_Thick-billed Grasswren,319
Amytornis goyderi_Eyrean Grasswren,200
Amytornis barbatus_Grey Grasswren,137
Alisterus scapularis_Australian King-Parrot,208
Aleeta curvicosta_Floury Baker,232
Ailuroedus crassirostris_Green Catbird,232
Aidemosyne modesta_Plum-headed Finch,210
Aegotheles cristatus_Australian Owlet Nightjar,233
Adelotus brevis_Tusked Frog,111
Acrocephalus australis_Australian Reed Warbler,254
Acridotheres tristis_Common Myna,156
Acanthorhynchus tenuirostris_Eastern Spinebill,173
Acanthiza uropygialis_Chestnut-rumped Thornbill,120
Acanthiza reguloides_Buff-rumped Thornbill,262
Acanthiza pusilla_Brown Thornbill,199
Acanthiza nana_Yellow Thornbill,202
Acanthiza lineata_Striated Thornbill,235
Acanthiza chrysorrhoa_Yellow-rumped_Thornbill,255
Acanthiza apicalis_Inland Thornbill,137
Acanthagenys rufogularis_Spiny-cheeked Honeyeater,188
