Label,Count
Ptilinopus regina_Rose-crowned Fruit-Dove,109
Pteropus poliocephalus_Grey-headed Flying-fox,296
Psophodes olivaceus_Eastern Whipbird,242
Psophodes cristatus_Chirruping Wedgebill,312
Pseudorhynchus mimeticus_Mimicking Snout-nose,200
Pseudorhynchus lessonii_Lesson's Mimicking Snout-nose,231
Pseudophryne coriacea_Red-backed Toadlet,211
Pseudophryne bibroni_Bibron's Toadlet,28
Pseudocheirus peregrinus_Common Ring-tailed Possum,116
Psephotus haematonotus_Red-rumped Parrot,211
Psephotellus varius_Mulga Parrot,114
Psaltoda plaga_Black Prince,326
Psaltoda pictibasis_Black Friday,128
Psaltoda mossi_Little Baron,115
Psaltoda moerens_Redeye Cicada,227
Psaltoda harrisii_Yellowbelly,120
Porzana fluminea_Australian Spotted Crake,178
Porphyrio melanotus_Australasian Swamphen,169
Poodytes gramineus_Little Grassbird,152
Pomatostomus temporalis_Grey-crowned Babbler,130
Pomatostomus superciliosus_White-browed Babbler,109
Pomatostomus ruficeps_Chestnut-crowned Babbler,119
Polytelis swainsonii_Superb Parrot,240
Podargus strigoides_Tawny Frogmouth,215
Plegadis falcinellus_Glossy Ibis,134
Plectorhyncha lanceolata_Striped Honeyeater,118
Platycercus eximius_Eastern Rosella,311
Platycercus elegans_Crimson Rosella,222
Platalea leucorodia_Royal Spoonbill,160
Pitta versicolor_Noisy Pitta,245
Phylidonyris novaehollandiae_New Holland Honeyeater,144
Phylidonyris niger_White-cheeked Honeyeater,161
Philemon corniculatus_Noisy Friarbird,260
Philemon citreogularis_Little Friarbird,155
Phascolarctos cinereus_Koala,237
Phaps histrionica_Flock Bronzewing,111
Phaps elegans_Brush Bronzewing,235
Phaps chalcoptera_Common Bronzewing,325
Phalacrocorax varius_Pied Cormorant,108
Phalacrocorax sulcirostris_Little Black Cormorant,92
Phalacrocorax carbo_Great Cormorant,151
Pezoporus wallicus_Ground Parrot,54
Petroica rosea_Rose Robin,148
Petroica phoenicea_Flame Robin,107
Petroica goodenovii_Red-capped Robin,211
Petroica boodang_Scarlet Robin,117
Petrochelidon nigricans_Tree Martin,219
Petrochelidon ariel_Fairy Martin,120
Petaurus breviceps_Sugar Glider,208
Peltohyas australis_Inland Dotterel,119
